,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
1292,RedGrid25,0,0.689495,-0.0205538781971335,-0.0258833660680579,-0.0258833660680579,-0.0046347479269271,-0.0247284642430947,0 days 00:09:59.998206
1293,RedGrid5,0,0.689495,-0.0205538781971335,-0.0258833660680579,-0.0258833660680579,-0.0046347479269271,-0.0247284642430947,0 days 00:10:16.493998
1294,RedGrid75,0,0.689495,-0.0205538781971335,-0.0258833660680579,-0.0258833660680579,-0.0046347479269271,-0.0247284642430947,0 days 00:10:38.087791
1295,ExpGrad.1,0,0.706535,-0.0821763786947898,-0.0994242658862952,-0.0994242658862952,-0.0740323748226207,-0.0715288003162993,0 days 00:03:57.258814
1296,ExpGrad.01,0,0.687395,-0.0100685937341728,-0.0155101074396922,-0.0155101074396922,-0.0068709266704405,-0.0070562463120537,0 days 00:07:11.015570
1297,RedGrid25,0,0.682942,-0.1147371705783862,-0.1486073265790302,-0.1486073265790302,-0.0967541135565062,-0.0949269769152619,0 days 00:14:54.635610
1298,RedGrid5,0,0.682942,-0.1147371705783862,-0.1486073265790302,-0.1486073265790302,-0.0967541135565062,-0.0949269769152619,0 days 00:14:32.985097
1299,RedGrid75,0,0.682942,-0.1147371705783862,-0.1486073265790302,-0.1486073265790302,-0.0967541135565062,-0.0949269769152619,0 days 00:14:44.161288
1300,ExpGrad.1,2,0.69675,-0.0499911333047395,-0.0807329790003262,-0.0807329790003262,-0.056348953974009,-0.0186637731151265,0 days 00:02:00.690522
1301,ExpGrad.01,2,0.621609,-0.0056099314119102,-0.0161497074436598,-0.0161497074436598,0.0,0.0,0 days 00:04:31.060039
1302,RedGrid25,2,0.71773,-0.0819932890490326,-0.1027662484256911,-0.1027662484256911,-0.0905769755795807,-0.0580007337992702,0 days 00:10:38.607927
1303,RedGrid5,2,0.71773,-0.0819932890490326,-0.1027662484256911,-0.1027662484256911,-0.0905769755795807,-0.0580007337992702,0 days 00:10:40.071546
1304,RedGrid75,2,0.646347,-0.0175155821626923,-0.0323995090994796,-0.0323995090994796,0.0,-0.0159120079118016,0 days 00:10:46.856459
